Timestamp,n,k,q,Weights,Points,Phase0_Time,Phase1_Time,Phase2_Time,Existence_Status,Total_Solutions,Unique_Solutions,Nodes_Visited,Pruned_Nodes
2026-01-25 04:37:01,7,3,2,"[3, 4]",7,0.0000,0.0123,0.0000,Feasible,1,1,5,0
2026-01-25 21:43:44,7,3,2,"[3, 4]",7,0.0000,0.0937,0.0000,Feasible,1,1,5,0
2026-01-25 21:51:36,7,3,2,"[3, 4]",7,0.0000,0.0110,0.0000,Feasible,1,1,5,0
2026-01-25 22:39:13,7,3,2,"[3, 4]",7,0.0000,0.0698,0.0010,Feasible,1,1,5,0
2026-01-25 22:40:53,7,3,2,"[3, 4]",7,0.0000,0.0134,0.0010,Feasible,1,1,5,0
2026-01-25 22:43:38,6,2,5,[5],6,0.0000,0.0060,0.0000,Feasible,1,1,0,0
2026-01-26 14:02:31,8,2,7,[7],8,0.0000,0.0665,0.0000,Feasible,1,1,0,0
2026-01-26 14:10:09,8,2,7,[7],8,0.0000,0.0131,0.0000,Feasible,1,1,0,0
2026-01-26 20:44:17,8,2,7,[7],8,0.0000,0.0670,0.0000,Feasible,1,1,0,0
2026-01-26 20:51:44,10,3,2,"[3, 8]",7,0.0000,0.0080,0.0000,Infeasible,0,0,0,0
2026-01-26 20:56:14,7,3,2,"[3, 4]",7,0.0000,0.0314,0.0010,Feasible,1,1,5,0
2026-01-27 04:40:03,8,2,7,[7],8,0.0000,0.0713,0.0000,Feasible,1,1,0,0
2026-01-27 04:41:16,8,2,7,[7],8,0.0000,0.0062,0.0000,Feasible,1,1,0,0
