Timestamp,Elapsed_Time_sec,Memory_Usage_MB
2026-01-29 02:55:57,60.02,143.46
2026-01-29 02:56:57,120.02,127.07
2026-01-29 02:57:57,180.02,135.12
2026-01-29 02:58:57,240.02,140.57
2026-01-29 02:59:57,300.03,144.09
2026-01-29 03:00:57,360.03,144.66
2026-01-29 03:01:57,420.03,142.73
2026-01-29 03:02:57,480.03,139.24
2026-01-29 03:03:57,540.03,143.35
2026-01-29 03:04:57,600.04,151.45
2026-01-29 03:05:57,660.04,144.57
2026-01-29 03:06:57,720.04,154.03
2026-01-29 03:07:57,780.04,151.68
2026-01-29 03:08:57,840.04,153.53
2026-01-29 03:09:57,900.05,152.20
2026-01-29 03:10:57,960.05,155.23
2026-01-29 03:11:57,1020.05,155.77
2026-01-29 03:12:57,1080.05,150.47
2026-01-29 03:13:57,1140.06,141.97
2026-01-29 03:14:57,1200.06,153.14
2026-01-29 03:15:57,1260.06,155.88
2026-01-29 03:16:57,1320.06,215.11
2026-01-29 03:17:57,1380.06,228.93
2026-01-29 03:18:57,1440.07,238.91
2026-01-29 03:19:57,1500.07,242.74
2026-01-29 03:20:57,1560.07,247.54
2026-01-29 03:21:57,1620.07,256.85
2026-01-29 03:22:57,1680.07,257.45
2026-01-29 03:23:57,1740.07,262.84
2026-01-29 03:24:57,1800.08,269.51
2026-01-29 03:25:57,1860.08,272.73
2026-01-29 03:26:57,1920.08,291.94
2026-01-29 03:27:57,1980.08,274.96
2026-01-29 03:28:57,2040.08,187.19
2026-01-29 03:29:57,2100.09,187.86
2026-01-29 03:30:57,2160.09,185.73
2026-01-29 03:31:57,2220.09,190.38
2026-01-29 03:32:57,2280.09,190.59
2026-01-29 03:33:57,2340.09,188.89
2026-01-29 03:34:57,2400.09,172.70
2026-01-29 03:35:57,2460.09,172.70
2026-01-29 03:36:57,2520.10,169.94
2026-01-29 03:37:57,2580.10,175.50
2026-01-29 03:38:57,2640.10,159.76
2026-01-29 03:39:57,2700.10,143.27
2026-01-29 03:40:57,2760.10,166.38
2026-01-29 03:41:57,2820.11,168.49
2026-01-29 03:42:57,2880.11,166.40
2026-01-29 03:43:57,2940.11,143.16
2026-01-29 03:44:57,3000.11,158.39
2026-01-29 03:45:57,3060.11,161.08
2026-01-29 03:46:57,3120.12,155.87
2026-01-29 03:47:57,3180.12,156.84
2026-01-29 03:48:57,3240.12,130.43
2026-01-29 03:49:57,3300.12,155.31
2026-01-29 03:50:57,3360.12,157.70
2026-01-29 03:51:57,3420.13,159.99
2026-01-29 03:52:57,3480.13,156.30
2026-01-29 03:53:57,3540.13,155.07
2026-01-29 03:54:57,3600.13,147.58
