Elapsed_Time_sec,B_Memory_Usage_MB,T3_Memory_Usage_MB
60.02,143.46,118.48
120.02,127.07,127.69
180.02,135.12,140.52
240.02,140.57,138.46
300.03,144.09,122.53
360.03,144.66,139.46
420.03,142.73,140.84
480.03,139.24,143.08
540.03,143.35,137.76
600.04,151.45,148.12
660.04,144.57,153.99
720.04,154.03,146.97
780.04,151.68,156.57
840.04,153.53,145.25
900.05,152.2,153.34
960.05,155.23,151.2
1020.05,155.77,136.71
1080.05,150.47,149.2
1140.06,141.97,152.82
1200.06,153.14,154.13
1260.06,155.88,148.6
1320.06,215.11,148.42
1380.06,228.93,150.69
1440.07,238.91,152.28
1500.07,242.74,233.98
1560.07,247.54,244
1620.07,256.85,241.26
1680.07,257.45,242.55
1740.07,262.84,240.3
1800.08,269.51,249.84
1860.08,272.73,259.88
1920.08,291.94,264.14
1980.08,274.96,263.22
2040.08,187.19,243.19
2100.09,187.86,248.13
2160.09,185.73,250.81
2220.09,190.38,258.16
2280.09,190.59,259.99
2340.09,188.89,175.25
2400.09,172.7,176.48
2460.09,172.7,180.93
2520.1,169.94,181.23
2580.1,175.5,182.95
2640.1,159.76,178.53
2700.1,143.27,177.61
2760.1,166.38,104.87
2820.11,168.49,162.53
2880.11,166.4,145.56
2940.11,143.16,122.27
3000.11,158.39,151.07
3060.11,161.08,150.98
3120.12,155.87,154.98
3180.12,156.84,154.57
3240.12,130.43,114.47
3300.12,155.31,138.09
3360.12,157.7,142.46
3420.13,159.99,133.97
3480.13,156.3,129.44
3540.13,155.07,139.87
3600.13,147.58,144.52
